Ticker,Trades
MMM,0
AOS,0
ABT,0
ABBV,0
ACN,0
ADBE,0
AMD,0
AES,0
AFL,0
A,0
APD,0
ABNB,0
AKAM,0
ALB,0
ARE,0
ALGN,0
ALLE,0
LNT,0
ALL,0
GOOGL,0
GOOG,0
MO,0
AMZN,0
AMCR,0
AEE,0
AEP,0
AXP,0
AIG,0
AMT,0
AWK,0
AMP,0
AME,0
AMGN,0
APH,0
ADI,0
ANSS,0
AON,0
APA,0
APO,0
AAPL,0
AMAT,0
APTV,0
ACGL,0
ADM,0
ANET,0
AJG,0
AIZ,0
T,0
ATO,0
ADSK,0
ADP,0
AZO,0
AVB,0
AVY,0
AXON,0
BKR,0
BALL,0
BAC,0
BAX,0
BDX,0
BRK-B,0
BBY,0
TECH,0
BIIB,0
BLK,0
BX,0
BK,0
BA,0
BKNG,0
BSX,0
BMY,0
AVGO,0
BR,0
BRO,0
BF-B,0
BLDR,0
BG,0
BXP,0
CHRW,0
CDNS,0
CZR,0
CPT,0
CPB,0
COF,0
CAH,0
KMX,0
CCL,0
CARR,0
CAT,0
CBOE,0
CBRE,0
CDW,0
COR,0
CNC,0
CNP,0
CF,0
CRL,0
SCHW,0
CHTR,0
CVX,0
CMG,0
CB,0
CHD,0
CI,0
CINF,0
CTAS,0
CSCO,0
C,0
CFG,0
CLX,0
CME,0
CMS,0
KO,0
CTSH,0
COIN,0
CL,0
CMCSA,0
CAG,0
COP,0
ED,0
STZ,0
CEG,0
COO,0
CPRT,0
GLW,0
CPAY,0
CTVA,0
CSGP,0
COST,0
CTRA,0
CRWD,0
CCI,0
CSX,0
CMI,0
CVS,0
DHR,0
DRI,0
DVA,0
DAY,0
DECK,0
DE,0
DELL,0
DAL,0
DVN,0
DXCM,0
FANG,0
DLR,0
DG,0
DLTR,0
D,0
DPZ,0
DASH,0
DOV,0
DOW,0
DHI,0
DTE,0
DUK,0
DD,0
EMN,0
ETN,0
EBAY,0
ECL,0
EIX,0
EW,0
EA,0
ELV,0
EMR,0
ENPH,0
ETR,0
EOG,0
EPAM,0
EQT,0
EFX,0
EQIX,0
EQR,0
ERIE,0
ESS,0
EL,0
EG,0
EVRG,0
ES,0
EXC,0
EXE,0
EXPE,0
EXPD,0
EXR,0
XOM,0
FFIV,0
FDS,0
FICO,0
FAST,0
FRT,0
FDX,0
FIS,0
FITB,0
FSLR,0
FE,0
FI,0
F,0
FTNT,0
FTV,0
FOXA,0
FOX,0
BEN,0
FCX,0
GRMN,0
IT,0
GE,0
GEHC,0
GEV,0
GEN,0
GNRC,0
GD,0
GIS,0
GM,0
GPC,0
GILD,0
GPN,0
GL,0
GDDY,0
GS,0
HAL,0
HIG,0
HAS,0
HCA,0
DOC,0
HSIC,0
HSY,0
HES,0
HPE,0
HLT,0
HOLX,0
HD,0
HON,0
HRL,0
HST,0
HWM,0
HPQ,0
HUBB,0
HUM,0
HBAN,0
HII,0
IBM,0
IEX,0
IDXX,0
ITW,0
INCY,0
IR,0
PODD,0
INTC,0
ICE,0
IFF,0
IP,0
IPG,0
INTU,0
ISRG,0
IVZ,0
INVH,0
IQV,0
IRM,0
JBHT,0
JBL,0
JKHY,0
J,0
JNJ,0
JCI,0
JPM,0
K,0
KVUE,0
KDP,0
KEY,0
KEYS,0
KMB,0
KIM,0
KMI,0
KKR,0
KLAC,0
KHC,0
KR,0
LHX,0
LH,0
LRCX,0
LW,0
LVS,0
LDOS,0
LEN,0
LII,0
LLY,0
LIN,0
LYV,0
LKQ,0
LMT,0
L,0
LOW,0
LULU,0
LYB,0
MTB,0
MPC,0
MKTX,0
MAR,0
MMC,0
MLM,0
MAS,0
MA,0
MTCH,0
MKC,0
MCD,0
MCK,0
MDT,0
MRK,0
META,0
MET,0
MTD,0
MGM,0
MCHP,0
MU,0
MSFT,0
MAA,0
MRNA,0
MHK,0
MOH,0
TAP,0
MDLZ,0
MPWR,0
MNST,0
MCO,0
MS,0
MOS,0
MSI,0
